gender,time_slot,treatment,code
w,AM,60bpm,SAGWTH
w,AM,silent,U3A3YL
w,AM,60bpm,E8LCD5
w,AM,silent,V3ZT9N
w,AM,130bpm,T4V5UY
w,AM,130bpm,BHKCHD
w,PM,silent,JWMMGJ
w,PM,60bpm,7WVFZF
w,PM,60bpm,N9WTX4
w,PM,130bpm,2HBLJG
w,PM,130bpm,86LWN7
w,PM,silent,QJHTJU
m,AM,60bpm,6NH9SC
m,AM,silent,BDW3PC
m,AM,60bpm,N9S95A
m,AM,130bpm,ZXTJWD
m,AM,silent,PQ86JS
m,AM,130bpm,F75KWV
m,PM,60bpm,E2T2SA
m,PM,silent,LA764K
m,PM,60bpm,B68CRC
m,PM,130bpm,22ERTJ
m,PM,130bpm,5PGTZG
m,PM,silent,K9WQSD
